dataset,index,direction,variant,mapping_cpu,mapping_wall,capped,best_representative_events,best_verified_events,full_representatives,target_score,target_status,recovery
holdout,100,R_to_P,original,2.2184006669999996,0.5941224358975887,False,4,,911,,,unknown
holdout,100,R_to_P,metal_binary,1.2615985930000002,0.3054659590125084,False,4,,188,,,unknown
holdout,102,R_to_P,original,0.694773171,0.19280568696558475,False,4,,35,,,unknown
holdout,102,R_to_P,metal_binary,0.6826373910000001,0.1865738332271576,False,4,,36,,,unknown
holdout,103,R_to_P,original,0.668027889,0.17460112273693085,False,4,,35,,,unknown
holdout,103,R_to_P,metal_binary,0.7028575869999998,0.1841566665098071,False,4,,36,,,unknown
holdout,105,R_to_P,original,1.3639109429999998,0.3332589315250516,False,5,,195,,,unknown
holdout,105,R_to_P,metal_binary,1.2936733139999994,0.3083834480494261,False,5,,168,,,unknown
holdout,106,R_to_P,original,1.3651003420000003,0.330647942610085,False,5,,195,,,unknown
holdout,106,R_to_P,metal_binary,1.2767477649999996,0.3067661486566067,False,5,,168,,,unknown
holdout,107,R_to_P,original,1.070363767,0.28700424637645483,False,4,,239,,,unknown
holdout,107,R_to_P,metal_binary,0.760278606,0.20091781206429005,False,4,,69,,,unknown
holdout,108,R_to_P,original,1.0674537240000002,0.3049848238006234,False,4,,245,,,unknown
holdout,108,R_to_P,metal_binary,0.755421632,0.2118737418204546,False,4,,70,,,unknown
holdout,109,R_to_P,original,0.864077668,0.26100446470081806,False,5,,127,,,unknown
holdout,109,R_to_P,metal_binary,0.785781982,0.22635195218026638,False,5,,72,,,unknown
holdout,110,R_to_P,original,0.600744223,0.16360388416796923,False,2,,17,,,unknown
holdout,110,R_to_P,metal_binary,0.5976643309999997,0.16660779900848866,False,2,,12,,,unknown
holdout,111,R_to_P,original,0.9981891489999998,0.2889456311240792,False,3,,223,,,unknown
holdout,111,R_to_P,metal_binary,0.7469778,0.2011078419163823,False,3,,92,,,unknown
holdout,112,R_to_P,original,0.800166561,0.234291966073215,False,4,,81,,,unknown
holdout,112,R_to_P,metal_binary,1.034113319,0.3383366521447897,False,4,,114,,,unknown
holdout,113,R_to_P,original,0.728180778,0.19804558344185352,False,4,,51,,,unknown
holdout,113,R_to_P,metal_binary,0.7424161079999999,0.2037168899551034,False,4,,46,,,unknown
holdout,114,R_to_P,original,0.6923200099999998,0.18449516128748655,False,4,,29,,,unknown
holdout,114,R_to_P,metal_binary,0.7687757780000001,0.18968233093619347,False,4,,47,,,unknown
holdout,115,R_to_P,original,0.7742679429999999,0.1930199796333909,False,4,,49,,,unknown
holdout,115,R_to_P,metal_binary,0.9508468970000001,0.22889893129467964,False,4,,90,,,unknown
holdout,116,R_to_P,original,2.503208952,0.5016767857596278,False,1,,73,,,unknown
holdout,116,R_to_P,metal_binary,2.4811926640000004,0.5053211813792586,False,1,,73,,,unknown
holdout,117,R_to_P,original,4.87152876,0.857460250146687,False,1,,232,,,unknown
holdout,117,R_to_P,metal_binary,3.4678877729999997,0.639629009179771,False,1,,126,,,unknown
holdout,118,R_to_P,original,0.545634631,0.14357739221304655,False,3,,18,,,unknown
holdout,118,R_to_P,metal_binary,0.526408022,0.1379427257925272,False,3,,18,,,unknown
holdout,119,R_to_P,original,3.128943218,0.7582080708816648,False,3,,268,,,unknown
holdout,119,R_to_P,metal_binary,3.2350005760000005,0.7803304120898247,False,3,,268,,,unknown
holdout,120,R_to_P,original,0.720390345,0.18193312641233206,False,3,,10,,,unknown
holdout,120,R_to_P,metal_binary,0.7521296329999999,0.18553607445210218,False,3,,10,,,unknown
holdout,121,R_to_P,original,4.014093020999999,0.7241326328366995,False,6,,130,,,unknown
holdout,121,R_to_P,metal_binary,3.9637136020000003,0.7162626935169101,False,6,,130,,,unknown
holdout,122,R_to_P,original,1.4900494279999998,0.39848831482231617,False,3,,16,,,unknown
holdout,122,R_to_P,metal_binary,1.466234356,0.334212027490139,False,3,,16,,,unknown
holdout,123,R_to_P,original,1.513533163,0.35239053424447775,False,3,,21,,,unknown
holdout,123,R_to_P,metal_binary,1.479496562,0.3929599355906248,False,3,,21,,,unknown
holdout,124,R_to_P,original,3.7927862279999998,0.7116756113246083,False,3,,100,,,unknown
holdout,124,R_to_P,metal_binary,3.711559783,0.6663822019472718,False,3,,100,,,unknown
holdout,125,R_to_P,original,1.4932631140000003,0.35525014251470566,False,4,,42,,,unknown
holdout,125,R_to_P,metal_binary,1.483890009,0.38006548676639795,False,4,,42,,,unknown
holdout,126,R_to_P,original,0.787511504,0.25080693513154984,False,3,,19,,,unknown
holdout,126,R_to_P,metal_binary,0.7874520469999999,0.21855234820395708,False,3,,19,,,unknown
holdout,127,R_to_P,original,0.6395771209999999,0.17686748690903187,False,4,,27,,,unknown
holdout,127,R_to_P,metal_binary,0.629939185,0.20607955288141966,False,4,,27,,,unknown
holdout,128,R_to_P,original,0.5971763049999999,0.16226889565587044,False,3,,15,,,unknown
holdout,128,R_to_P,metal_binary,0.587909445,0.16613924503326416,False,3,,15,,,unknown
holdout,129,R_to_P,original,3.015549095,0.6346476376056671,False,7,,560,,,unknown
holdout,129,R_to_P,metal_binary,2.95526679,0.6902026403695345,False,7,,560,,,unknown
holdout,130,R_to_P,original,0.851251765,0.26018568873405457,False,4,,18,,,unknown
holdout,130,R_to_P,metal_binary,0.8499677330000001,0.22473780158907175,False,4,,18,,,unknown
holdout,131,R_to_P,original,1.539607466,0.3396933972835541,False,2,,66,,,unknown
holdout,131,R_to_P,metal_binary,1.571816911,0.3516140840947628,False,2,,66,,,unknown
holdout,132,R_to_P,original,1.269155426,0.31627445202320814,False,4,,156,,,unknown
