index,direction,host,cpu_models,search_process_exit,search_complete,capped,terminals,cut_count,compute_cpu_seconds,elapsed_wall_including_io,persistence_cpu_seconds,persistence_summed_wall_seconds,loading_cpu_seconds,ranking_cpu_seconds,ranking_wall_seconds,ranking_saving_wall_seconds,verification_cpu_seconds,verification_wall_seconds,reference_recovery
841,R_to_P,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,32342,65,220.711198153,38.334854148328304,26.38386892200001,38.146898250095546,4.583480924999998,13.334996570000001,13.335367689840496,0.1896076174452901,29.626560028999997,29.627232877537608,recovered
841,P_to_R,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,49637,67,461.26189168400003,83.63881724327803,62.888457545999984,70.46766257937998,10.67602177,25.735884264,25.736435679718852,1.337660443969071,50.506811409,50.50842188950628,recovered
842,R_to_P,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,13724,65,170.65147754400002,36.249434755183756,20.55816608499999,27.844906811602414,3.847522370999998,7.846878504,7.847286034375429,0.07094875536859035,14.795814002,14.796366793103516,recovered
842,P_to_R,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,23245,70,312.5923557560001,54.794794232584536,38.77012141899998,42.06230958737433,6.618893825000006,17.836357642,17.836790442466736,0.4694791156798601,29.302145877,29.303982705809176,recovered
843,R_to_P,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,12763,38,46.89382332299999,11.000287087634206,6.787464979000001,7.505237850360572,1.582966698,2.788654553,2.7888020388782024,0.0645571006461978,6.835735949000001,6.835978303104639,recovered
843,P_to_R,bosque52,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,20989,40,81.073958357,18.852677531540394,13.588525854999999,15.396526121534407,2.6242947880000003,5.853336923999999,5.853539829142392,0.1415508510544896,11.636094066,11.636568748392165,recovered
844,R_to_P,bosque52,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,34360,93,355.56318578099996,52.20125536248088,33.208188750999994,36.37299157027155,5.537496467999996,24.941479732,24.942655882798135,1.2958360258489847,50.260776649,50.262485014274716,recovered
844,P_to_R,bosque52,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,63097,95,443.262433639,89.67359753418714,74.34186695100001,84.27520136907697,13.151189409999997,40.440179241,40.44093414954841,1.5640684003010392,87.354415488,87.3568822350353,recovered
845,R_to_P,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,19474,40,72.15112122299999,16.714149310952052,11.581726955,12.486297288211063,2.240009822,5.225258692000001,5.2253350568935275,0.13249690737575293,46.519129436,46.52006147429347,not_recovered
845,P_to_R,bosque44,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,17544,40,80.004091553,17.601629660464823,12.140743016000002,16.418824481777847,2.474153431,5.022182053000001,5.022404260002077,0.12219316000118852,9.998092112,9.998436233960092,recovered
