JobID|State|ExitCode|ElapsedRaw|TotalCPU|CPUTimeRAW|AllocCPUS|MaxRSS|NodeList
452980_250.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque46
452980_251|COMPLETED|0:0|5|00:07.194|80|16||bosque26
452980_251.batch|COMPLETED|0:0|5|00:07.191|80|16|3352K|bosque26
452980_251.extern|COMPLETED|0:0|5|00:00.003|80|16|300K|bosque26
452980_252|COMPLETED|0:0|5|00:05.020|80|16||bosque26
452980_252.batch|COMPLETED|0:0|5|00:05.017|80|16|3440K|bosque26
452980_252.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque26
452980_253|COMPLETED|0:0|5|00:04.897|80|16||bosque26
452980_253.batch|COMPLETED|0:0|5|00:04.894|80|16|3220K|bosque26
452980_253.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque26
452980_254|COMPLETED|0:0|5|00:04.340|80|16||bosque56
452980_254.batch|COMPLETED|0:0|5|00:04.339|80|16|3316K|bosque56
452980_254.extern|COMPLETED|0:0|5|00:00.001|80|16|1004K|bosque56
452980_255|COMPLETED|0:0|5|00:04.782|80|16||bosque56
452980_255.batch|COMPLETED|0:0|5|00:04.779|80|16|3376K|bosque56
452980_255.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque56
452980_256|COMPLETED|0:0|6|00:08.931|96|16||bosque56
452980_256.batch|COMPLETED|0:0|6|00:08.928|96|16|3324K|bosque56
452980_256.extern|COMPLETED|0:0|6|00:00.003|96|16|300K|bosque56
452980_257|COMPLETED|0:0|5|00:08.829|80|16||bosque44
452980_257.batch|COMPLETED|0:0|5|00:08.826|80|16|3316K|bosque44
452980_257.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque44
452980_258|COMPLETED|0:0|39|03:15.796|624|16||bosque44
452980_258.batch|COMPLETED|0:0|39|03:15.793|624|16|795564K|bosque44
452980_258.extern|COMPLETED|0:0|39|00:00.003|624|16|1092K|bosque44
452980_259|COMPLETED|0:0|16|01:11.544|256|16||bosque44
452980_259.batch|COMPLETED|0:0|16|01:11.540|256|16|3516K|bosque44
452980_259.extern|COMPLETED|0:0|16|00:00.003|256|16|4K|bosque44
452980_260|COMPLETED|0:0|7|00:16.275|112|16||bosque44
452980_260.batch|COMPLETED|0:0|7|00:16.271|112|16|3320K|bosque44
452980_260.extern|COMPLETED|0:0|7|00:00.003|112|16|4K|bosque44
452980_261|COMPLETED|0:0|23|01:18.795|368|16||bosque72
452980_261.batch|COMPLETED|0:0|23|01:18.791|368|16|3368K|bosque72
452980_261.extern|COMPLETED|0:0|23|00:00.003|368|16|4K|bosque72
452980_262|COMPLETED|0:0|5|00:10.847|80|16||bosque72
452980_262.batch|COMPLETED|0:0|5|00:10.843|80|16|3480K|bosque72
452980_262.extern|COMPLETED|0:0|5|00:00.003|80|16|308K|bosque72
452980_263|COMPLETED|0:0|5|00:09.021|80|16||bosque72
452980_263.batch|COMPLETED|0:0|5|00:09.018|80|16|3464K|bosque72
452980_263.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque72
452980_264|COMPLETED|0:0|5|00:07.982|80|16||bosque72
452980_264.batch|COMPLETED|0:0|5|00:07.978|80|16|3512K|bosque72
452980_264.extern|COMPLETED|0:0|5|00:00.003|80|16|308K|bosque72
452980_265|COMPLETED|0:0|5|00:06.698|80|16||bosque72
