index,original_reference_verified,terminals,contexts,states,transitions,unique_projected_actions,non_endpoint_automorphisms,unfinalized_terminal_edges,reference_source_orbit_selection_matches,reference_atom_orbit_pairing_matches,unique_orbit_pairings,closest_orbit_distance,closest_terminal,load_seconds,total_seconds,slurm_job,hostname
1465,True,5901,240,50001,49761,2,0,0,0,0,416,2,6022,6.27632341417484,7.03125627618283,438008,bosque38
1478,True,20878,279,209765,209486,4,0,0,0,0,839,6,18748,31.59134094393812,35.98389714793302,438009,bosque39
1491,True,9625,231,62952,62721,3,0,0,0,0,639,2,2052,7.635630076052621,8.698855199851096,438010,bosque40
151,True,10533,162,113692,113530,2,0,0,0,0,653,2,5,14.923493436072022,16.175781890982762,438009,bosque39
1517,True,6370,222,63146,62924,2,0,0,0,0,1496,2,42913,4.006072701886296,4.381073780357838,438003,bosque12
1518,True,5448,312,82022,81710,3,0,0,0,0,604,2,1878,10.897083316929638,11.77717249514535,438004,bosque34
1525,True,7002,273,27362,27089,4,0,0,0,0,778,2,10605,4.244584403932095,5.210728785023093,438005,bosque35
1526,True,8463,186,57926,57740,2,0,0,224,0,496,2,876,7.124213922768831,8.041471522767097,438006,bosque36
1533,True,13750,204,180582,180378,2,0,0,0,0,417,2,4,20.597197706112638,22.13648652518168,438007,bosque37
1546,True,5208,270,38613,38343,5,0,0,0,0,525,6,14154,5.6594123700633645,6.305151313077658,438008,bosque38
1547,True,25031,369,202883,202514,5,0,0,47,0,116,8,346,35.562223898014054,38.98957850388251,438009,bosque39
1553,True,2872,183,16214,16031,2,0,0,369,0,108,10,744,1.8068106989376247,2.0710953909438103,438010,bosque40
1554,True,53,354,519,165,2,0,0,0,0,3,28,82,0.06207706592977047,0.06687289662659168,438003,bosque12
1560,True,12314,195,98914,98719,4,0,0,0,0,351,2,3106,12.332846627105027,13.9634647089988,438004,bosque34
1564,True,16229,186,196540,196354,2,0,0,0,0,575,2,117965,21.365224084816873,23.075469348113984,438005,bosque35
1567,True,33669,402,590276,589874,2,0,0,0,0,533,10,443,13.188953773118556,18.687500271946192,438006,bosque36
1568,True,7543,189,64173,63984,3,0,0,3,0,100,2,9635,8.184047946007922,9.076663243118674,438007,bosque37
1571,True,4812,141,54083,53942,2,0,0,0,0,54,6,3560,4.873280937084928,5.297523804008961,438008,bosque38
1574,True,358,207,1508,1301,5,0,0,0,0,49,4,3,0.45878443005494773,0.5388336970936507,438009,bosque39
1577,True,4576,246,44105,43859,7,0,0,0,0,157,2,1385,5.79558083997108,6.292665133951232,438010,bosque40
