index,variant,recovery,searches_complete,mapping_cpu,capped
92,tol_1p5,recovered,True,2.494258761,True
92,archived_1p0,recovered,True,2.5878878869999995,True
93,tol_1p0,recovered,True,1.2063211569999999,False
93,tol_1p5,recovered,True,1.226305435,False
93,archived_1p0,recovered,True,1.3170157099999997,False
94,tol_1p0,recovered,True,1.2011270259999995,False
94,tol_1p5,recovered,True,1.142396126,False
94,archived_1p0,recovered,True,1.2228078120000005,False
95,tol_1p0,recovered,True,18.730407521,True
95,tol_1p5,recovered,True,19.365241705000003,True
95,archived_1p0,recovered,True,18.870126065,True
96,tol_1p0,recovered,True,1.8310451529999998,False
96,tol_1p5,recovered,True,1.8363453779999999,False
96,archived_1p0,recovered,True,2.0086890120000005,False
97,tol_1p0,recovered,True,14.395426243,True
97,tol_1p5,recovered,True,13.895870067999999,True
97,archived_1p0,recovered,True,14.492988201000003,True
98,tol_1p0,recovered,True,1.258003564,False
98,tol_1p5,recovered,True,1.263888134,False
98,archived_1p0,recovered,True,1.5003955540000002,False
99,tol_1p0,recovered,True,1.9347332799999997,True
99,tol_1p5,recovered,True,1.966262543,True
99,archived_1p0,recovered,True,2.057641666,True
100,tol_1p0,recovered,True,4.785946949999999,True
100,tol_1p5,recovered,True,4.584118264,True
100,archived_1p0,recovered,True,5.148436996999999,True
101,tol_1p0,recovered,True,2.538397286,True
101,tol_1p5,recovered,True,2.4644369150000003,True
101,archived_1p0,recovered,True,2.7442000440000003,True
102,tol_1p0,recovered,True,13.178409662999998,True
102,tol_1p5,recovered,True,13.155577288,True
102,archived_1p0,recovered,True,13.501762341,True
103,tol_1p0,recovered,True,9.937478927,True
103,tol_1p5,recovered,True,10.224434216000002,True
103,archived_1p0,recovered,True,10.590874492,True
104,tol_1p0,recovered,True,2.949142151,True
104,tol_1p5,recovered,True,2.9799282779999996,True
104,archived_1p0,recovered,True,3.2025193169999997,True
105,tol_1p0,recovered,True,1.4786168229999996,True
105,tol_1p5,recovered,True,1.4893408,True
105,archived_1p0,recovered,True,1.3984408650000002,True
106,tol_1p0,recovered,True,16.650836346,True
106,tol_1p5,recovered,True,16.762146264000002,True
106,archived_1p0,recovered,True,16.471446766,True
107,tol_1p0,recovered,True,22.007391432000002,True
107,tol_1p5,recovered,True,21.855005331999998,True
107,archived_1p0,recovered,True,21.460574332999997,True
108,tol_1p0,recovered,True,10.34460988,True
108,tol_1p5,recovered,True,10.054712432,True
108,archived_1p0,recovered,True,10.771025187,True
109,tol_1p0,recovered,True,2.5461419100000002,False
109,tol_1p5,recovered,True,2.603220058,False
109,archived_1p0,recovered,True,2.852728569,False
110,tol_1p0,recovered,True,11.079023567999998,True
110,tol_1p5,recovered,True,10.928883239000001,True
110,archived_1p0,recovered,True,11.648420870999999,True
111,tol_1p0,recovered,True,15.598473138000001,True
111,tol_1p5,recovered,True,15.321734678000002,True
111,archived_1p0,recovered,True,14.696119035999999,True
112,tol_1p0,recovered,True,5.962009521000001,True
112,tol_1p5,recovered,True,5.840304978999999,True
112,archived_1p0,recovered,True,5.991206002,True
113,tol_1p0,recovered,True,14.077140435,True
113,tol_1p5,recovered,True,13.502630897,True
113,archived_1p0,recovered,True,13.72277954,True
114,tol_1p0,recovered,True,1.3956708569999998,False
114,tol_1p5,recovered,True,1.5243975799999996,False
114,archived_1p0,recovered,True,1.7204818880000001,False
115,tol_1p0,recovered,True,2.696891192,True
115,tol_1p5,recovered,True,2.5518796949999993,True
115,archived_1p0,recovered,True,2.7683473569999997,True
116,tol_1p0,recovered,True,7.456100666,True
116,tol_1p5,recovered,True,7.139276126,True
116,archived_1p0,recovered,True,7.367095431999999,True
117,tol_1p0,recovered,True,1.9987516779999996,False
117,tol_1p5,recovered,True,1.9589524579999997,False
117,archived_1p0,recovered,True,2.099789948,False
118,tol_1p0,recovered,True,10.153906719999998,True
118,tol_1p5,recovered,True,10.110132517,True
118,archived_1p0,recovered,True,10.490185633,True
119,tol_1p0,recovered,True,2.872580995,False
119,tol_1p5,recovered,True,3.133112178,False
119,archived_1p0,recovered,True,3.358563461,False
120,tol_1p0,recovered,True,22.941233993000004,True
120,tol_1p5,recovered,True,23.193168142,True
120,archived_1p0,recovered,True,23.907647471999994,True
121,tol_1p0,recovered,True,12.010442884,True
121,tol_1p5,recovered,True,12.463403650000004,True
121,archived_1p0,recovered,True,11.691503243000003,True
122,tol_1p0,recovered,True,3.436646154,True
122,tol_1p5,recovered,True,3.6569937760000006,True
122,archived_1p0,recovered,True,3.3233901770000003,True
123,tol_1p0,recovered,True,7.122707739000001,True
123,tol_1p5,recovered,True,6.63108972,True
123,archived_1p0,recovered,True,7.515174878999999,True
124,tol_1p0,recovered,True,2.6888697770000003,True
124,tol_1p5,recovered,True,2.44345021,True
124,archived_1p0,recovered,True,2.9470111319999996,True
125,tol_1p0,recovered,True,8.259221807000001,True
125,tol_1p5,recovered,True,8.51757485,True
125,archived_1p0,recovered,True,8.606434605999999,True
126,tol_1p0,recovered,True,13.541140835999999,True
126,tol_1p5,recovered,True,14.176013046000001,True
126,archived_1p0,recovered,True,14.23587721,True
127,tol_1p0,recovered,True,19.525789352,True
127,tol_1p5,recovered,True,19.385100879,True
127,archived_1p0,recovered,True,19.344044144999998,True
128,tol_1p0,recovered,True,13.291555716000001,True
