step_id,n_atoms,core_size,label,ts_file,n_imag,reaction_mode_freq,core_fraction,imag_core_freq,imag_core_fraction,error
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-C,37,3,groundtruth,ts_groundtruth_01_reference_ts_01_8-conc1.xyz,1,-306.7718,0.7376307320997588,-306.7718,0.7376307320997588,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-D,37,3,groundtruth,ts_groundtruth_01_reference_ts_01_8-conc2.xyz,1,-233.0725,0.7820717131474105,-233.0725,0.7820717131474105,
pr5.Noyori_ts26,90,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts17_thf.xyz,4,-708.1889,0.9667966796679668,-708.1889,0.9667966796679668,
pr5.Noyori_ts45,88,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts48_thf.xyz,1,3277.9853,0.975822632423756,-1037.6965,0.007891319548496655,
pr5.Noyori_ts56,87,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts57_thf.xyz,2,-561.7382,0.7353689567430026,-561.7382,0.7353689567430026,
pr5.Noyori_ts5H2,87,0,groundtruth,ts_groundtruth_01_reference_ts_01_ts5H2_thf.xyz,3,,,,,
pr5.Noyori_ts65,95,6,groundtruth,ts_groundtruth_01_reference_ts_01_ts75_acrol_thf.xyz,0,3294.5795,0.986913086913087,,,
pr6.AlNHCs_tsI,59,2,groundtruth,ts_groundtruth_01_reference_ts_01_ts21_lat_thf.xyz,1,-64.2262,0.42326980942828485,-64.2262,0.42326980942828485,
pr6.AlNHCs_tsII,59,2,groundtruth,ts_groundtruth_01_reference_ts_01_ts34_lat_thf.xyz,0,237.5781,0.39958448753462605,,,
pr7.V.dodh_ts1011-triplet,38,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts10-11_triplet_benzene.xyz,3,-224.3539,0.7825052067836955,-224.3539,0.7825052067836955,
pr7.V.dodh_ts1015,38,2,groundtruth,ts_groundtruth_01_reference_ts_01_ts10-15_benzene.xyz,2,284.8421,0.434117763876477,-50.3272,0.3165246681196751,
pr7.V.dodh_ts1112-triplet,38,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts11-12_triplet_benzene.xyz,4,-466.5399,0.9626969878316376,-466.5399,0.9626969878316376,
pr7.V.dodh_ts13,31,2,groundtruth,ts_groundtruth_01_reference_ts_01_ts1-3_benzene.xyz,3,-93.841,0.5002993414488127,-93.841,0.5002993414488127,
